Disease/Trait (PheGenI),Main categories (PheGenI),Entries utilized in this study,Ensembl ID,GWAS eGene ID,Ensembl gene category,Ensembl biotype,Genomic location of transcript,Mean expression in classical monocytes (TPM),Mean expression in non-classical monocytes (TPM),"Mean expression in
NK cells (TPM)",Mean expression in naïve B cells (TPM),Mean expression in naïve CD4+ T cells (TPM),Mean expression in naïve CD8+ T cells (TPM),"Mean expression in activated naïve
CD4+ T cells (TPM)","Mean expression in activated naïve
CD8+ T cells (TPM)",Mean expression in naïve TREG cells (TPM),Mean expression in memory TREG cells (TPM),"Mean expression in
TH1 cells (TPM)",Mean expression in TH1/17 cells (TPM),"Mean expression in
TH17 cells (TPM)","Mean expression in
TH2 cells (TPM)","Mean expression in
TFH cells (TPM)","Adj. association P value in
classical monocytes","Adj. association P value in
non-classical monocytes","Adj. association P value in
NK cells","Adj. association P value in
naïve B cells","Adj.association P value in
naïve CD4+ T cells","Adj. association P value in
naïve CD8+ T cells",Adj. association P value in activated naïve CD4+ T cells,Adj. association P value in activated naïve CD8+ T cells,"Adj. association P value in
naïve TREG cells","Adj. association P value in
memory TREG cells","Adj. association P value in
TH1 cells","Adj. association P value in
TH1/17 cells","Adj.association P value in
TH17 cells","Adj. association P value in
TH2 cells","Adj. association P value in
TFH cells",Count of cell types with GWAS eGenes
Proteins,Chemicals and drugs,N/A,ENSG00000223534.1,HLA-DQB1-AS1,antisense,lncRNA,"chr6:32,627,657-32,628,506",40.9,12.7,1.4,263.5,1.4,1,0.6,0.6,0.9,9,0.5,0.3,1.5,1.5,0.7,9.57E-17,1.79E-16,5.86E-13,1.94E-20,9.45E-16,N/A,N/A,N/A,N/A,1.43E-17,N/A,N/A,2.36E-13,6.33E-12,N/A,8
Proteins,Chemicals and drugs,N/A,ENSG00000228727.4,SAPCD1,protein coding,Protein-coding transcript,"chr6:31,730,576-31,732,628",2.2,4.6,5.4,5.6,2.2,1.7,0.6,0.8,2.3,3.7,3.2,2.7,2.7,3.4,3.1,N/A,1.48E-02,3.51E-02,1.49E-03,2.87E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.58E-03,5
Proteins,Chemicals and drugs,N/A,ENSG00000229391.3,HLA-DRB6,pseudogene,Pseudogene,"chr6:32,520,490-32,527,799",91.1,58.2,4.4,110,1,1.2,0.5,0.5,0.8,15,1.8,0.3,1.6,1.9,1.3,2.00E-20,1.15E-20,4.64E-08,3.92E-15,5.30E-08,5.95E-11,N/A,N/A,N/A,6.27E-17,9.23E-06,N/A,3.32E-10,2.89E-12,1.02E-07,11
Proteins,Chemicals and drugs,N/A,ENSG00000232629.4,HLA-DQB2,protein coding,Protein-coding transcript,"chr6:32,723,875-32,731,311",31.2,12.1,1.4,108.3,0.7,0.8,1.1,0.7,1.2,13.6,1.6,0.5,2.3,2.6,1.5,6.77E-16,2.11E-12,1.46E-06,1.52E-18,N/A,N/A,2.87E-13,N/A,2.54E-12,5.55E-19,7.67E-11,N/A,2.49E-14,4.01E-14,3.06E-08,11
Proteins,Chemicals and drugs,N/A,ENSG00000233609.3,RP11-62H7.2,pseudogene,Pseudogene,"chr8:8,818,710-8,836,535",0,0,16,0,2.9,1.5,0.2,0.1,2.6,11.7,8,6.8,8.7,8.6,9.1,N/A,N/A,N/A,N/A,3.03E-02,N/A,N/A,N/A,4.10E-02,3.72E-05,N/A,8.44E-04,4.39E-04,5.00E-07,8.43E-03,7
Proteins,Chemicals and drugs,N/A,ENSG00000237541.3,HLA-DQA2,protein coding,Protein-coding transcript,"chr6:32,709,119-32,714,992",57.4,72.5,4.2,211.4,1.2,1.3,1.1,1.1,0.6,15.5,1.4,0.2,1.3,1.3,1,3.30E-23,3.04E-24,3.61E-13,5.21E-24,2.12E-09,2.39E-13,2.63E-11,3.29E-10,N/A,3.95E-20,6.17E-06,N/A,3.61E-12,3.90E-12,6.63E-06,13
Proteins,Chemicals and drugs,N/A,ENSG00000239686.1,RP11-665C16.1,pseudogene,Pseudogene,"chr14:55,749,014-55,749,361",5.3,2.6,2.1,2.2,1.6,1,1.5,0.5,1.4,2.2,3.5,3.5,2.7,4,2.6,N/A,N/A,N/A,N/A,N/A,N/A,3.68E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Proteins,Chemicals and drugs,N/A,ENSG00000240053.8,LY6G5B,protein coding,Protein-coding transcript,"chr6:31,637,944-31,641,553",27.6,31.8,38.8,29.1,41.5,34.1,23.5,26.6,36.9,36.1,34.1,31.2,33,34,34.5,N/A,N/A,1.36E-02,6.77E-05,1.59E-05,5.17E-08,2.45E-02,5.96E-03,9.38E-07,2.69E-05,3.44E-05,4.20E-08,8.61E-09,1.68E-06,1.13E-08,13
Proteins,Chemicals and drugs,N/A,ENSG00000244151.1,RP11-148K1.12,antisense,lncRNA,"chr7:150,771,829-150,773,617",1.5,1,2.1,1.5,1.8,1.9,0.9,1.1,2.6,2.7,2.4,1.6,2,2,2.7,N/A,N/A,3.51E-03,N/A,7.47E-03,N/A,N/A,N/A,N/A,6.65E-03,N/A,N/A,N/A,N/A,N/A,3
Proteins,Chemicals and drugs,N/A,ENSG00000258469.1,CHMP4BP1,pseudogene,Pseudogene,"chr14:55,765,362-55,765,949",16.7,8.1,14.3,6.7,6.4,5.1,11.1,5.2,6.1,13.3,16.8,11.6,10.8,12.7,16.5,N/A,N/A,N/A,N/A,N/A,N/A,3.28E-11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Proteins,Chemicals and drugs,N/A,ENSG00000259901.1,RP5-991G20.4,antisense,lncRNA,"chr16:72,823,142-72,825,522",1.6,2,1.1,3.9,1.9,2.6,0.3,0.8,2.3,2.5,1.3,1.3,1.6,1,1.9,N/A,N/A,2.14E-02,N/A,N/A,N/A,N/A,N/A,5.08E-03,9.80E-04,N/A,N/A,N/A,N/A,N/A,3
Proteins,Chemicals and drugs,N/A,ENSG00000261556.4,RP11-296I10.6,pseudogene,Pseudogene,"chr16:70,253,477-70,279,519",2.3,2.1,5.8,7.6,8.7,8.3,3.5,4.2,8.3,5.2,6.4,5.7,6.1,6.1,7,5.56E-14,1.85E-12,1.62E-02,N/A,5.05E-06,2.54E-05,N/A,2.82E-02,8.58E-07,3.25E-10,1.54E-04,8.40E-09,4.79E-10,1.00E-05,2.42E-08,13
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000004838.9,ZMYND10,protein coding,Protein-coding transcript,"chr3:50,378,541-50,384,283",1.1,0.8,6.5,1.2,1.2,2,1.1,1.8,1.4,1.9,1.6,1.1,1.3,1.4,1.5,1.74E-02,N/A,3.75E-02,N/A,1.50E-04,4.15E-03,2.63E-02,N/A,1.85E-07,3.84E-04,3.30E-03,1.10E-03,6.44E-05,1.24E-05,5.11E-06,12
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000038532.10,CLEC16A,protein coding,Protein-coding transcript,"chr16:11,038,345-11,276,046",8.1,11.5,12.6,18.3,13.7,13.2,12.7,13.1,14.9,18.1,14.1,11.4,13.4,14.4,17.9,1.94E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.76E-02,N/A,N/A,N/A,N/A,N/A,N/A,2
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000065361.10,ERBB3,protein coding,Protein-coding transcript,"chr12:56,473,641-56,497,289",0,0,0.2,0.1,0.8,2.5,0.9,2.3,1.2,0.5,1.1,1.1,0.3,0.3,0.4,N/A,N/A,N/A,N/A,N/A,3.38E-08,N/A,4.65E-03,3.01E-02,N/A,1.73E-06,4.41E-06,N/A,N/A,N/A,5
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000065989.11,PDE4A,protein coding,Protein-coding transcript,"chr19:10,527,449-10,580,305",16.2,27.4,39.6,0.5,0.6,1.1,0.7,2,1.2,18.8,6.8,6.7,5.1,5.2,2.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.63E-03,N/A,1.87E-08,N/A,N/A,N/A,N/A,4.90E-02,3
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000081154.7,PCNP,protein coding,Protein-coding transcript,"chr3:101,292,939-101,313,281",116.6,180.2,161.4,285.6,222.4,204.6,239.2,202.5,270.3,152.7,203.8,276,183.8,212.4,181.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.60E-03,N/A,N/A,N/A,N/A,1
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000099377.9,HSD3B7,protein coding,Protein-coding transcript,"chr16:30,996,519-31,000,473",2,0.3,0.7,0.5,1.6,2.1,6.3,7.1,1.7,1.1,1,0.5,0.8,0.8,1.5,7.36E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000100883.7,SRP54,protein coding,Protein-coding transcript,"chr14:35,451,163-35,498,773",22.6,37.5,37.9,37.5,36.1,31.2,91.1,93.8,35.2,31.8,31.8,36.3,31.2,34.1,29.4,N/A,N/A,N/A,1.09E-03,1.04E-02,1.61E-03,1.86E-02,5.61E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000103510.15,KAT8,protein coding,Protein-coding transcript,"chr16:31,127,075-31,142,714",44.8,30.5,37.7,42.7,50.1,50.4,37.2,38.9,50.1,44.2,42.7,33.4,40.3,41,53.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.01E-02,N/A,N/A,N/A,N/A,N/A,1
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000108175.12,ZMIZ1,protein coding,Protein-coding transcript,"chr10:80,828,792-81,076,276",82.5,104.8,28.4,5.3,12,11.8,6.1,7,21.7,37.5,27,20.5,27.7,33,24.9,N/A,N/A,1.48E-02,9.93E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.32E-02,N/A,3
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000115468.7,EFHD1,protein coding,Protein-coding transcript,"chr2:233,470,767-233,547,491",0,0,0.6,0,6.8,8.9,1.1,2.1,3.6,1.9,3.7,4.1,5,3,3.5,N/A,N/A,N/A,N/A,5.18E-03,4.31E-05,2.33E-02,2.88E-02,2.03E-04,N/A,3.93E-02,2.06E-02,2.36E-02,N/A,3.65E-02,9
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000123411.10,IKZF4,protein coding,Protein-coding transcript,"chr12:56,401,443-56,432,219",4,8.8,3.7,2.8,5.7,3.9,15.3,16.3,21.1,28.8,5.6,6.4,6.4,5.6,4.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.86E-04,9.83E-05,N/A,N/A,N/A,N/A,N/A,2
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000124226.7,RNF114,protein coding,Protein-coding transcript,"chr20:48,552,948-48,570,429",303.5,412.7,323.9,302.5,410.8,374,326.7,401.8,458.9,452.7,371.4,360.7,378.8,371,400.5,2.88E-03,1.20E-02,5.87E-03,9.58E-04,7.55E-07,2.71E-05,N/A,N/A,3.34E-05,3.02E-04,1.33E-03,3.10E-04,2.95E-05,4.96E-05,2.39E-04,13
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000133103.12,COG6,protein coding,Protein-coding transcript,"chr13:40,229,764-40,365,802",8,15.1,21.7,19.6,23.3,18.3,11.2,13,24.5,16.8,18.7,22.6,19.2,20.4,17.5,2.66E-02,2.84E-02,N/A,3.15E-02,N/A,N/A,N/A,N/A,7.24E-04,N/A,7.58E-03,2.37E-02,1.80E-03,1.93E-05,1.15E-04,9
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000134352.15,IL6ST,protein coding,Protein-coding transcript,"chr5:55,230,923-55,290,821",103.4,31.7,25.3,88.9,1027.5,502.7,475.6,173.5,977.6,143.9,231.1,164.9,255.1,488.8,357.7,N/A,N/A,N/A,N/A,N/A,3.28E-02,N/A,N/A,6.42E-03,N/A,N/A,N/A,N/A,N/A,3.56E-02,3
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000134460.11,IL2RA,protein coding,Protein-coding transcript,"chr10:6,052,652-6,104,288",0.2,0.1,2.6,16.6,35.6,1.7,2407.6,1111.8,568.3,762.3,83.8,103.9,176.8,138.9,105.3,N/A,N/A,N/A,2.99E-02,1.28E-02,4.82E-03,4.86E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.74E-03,5
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000137310.7,TCF19,protein coding,Protein-coding transcript,"chr6:31,126,319-31,134,936",2,6.2,34.3,21.7,22.3,21.1,5.1,5.4,28.9,41.6,24.8,17.4,18.6,21.3,23.5,N/A,N/A,5.87E-03,1.74E-04,3.24E-06,5.20E-07,N/A,2.58E-03,2.44E-07,9.53E-05,5.49E-03,1.55E-06,1.51E-03,2.56E-03,9.09E-06,12
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000137312.10,FLOT1,protein coding,Protein-coding transcript,"chr6:30,695,486-30,710,510",74.1,21.6,93.3,21.9,72.3,53,21,16.1,71.4,29.5,76.1,39.6,56.4,80.8,100.5,9.95E-04,2.27E-11,2.30E-03,1.12E-04,2.12E-02,1.21E-02,4.13E-02,3.04E-04,N/A,2.67E-02,N/A,N/A,N/A,N/A,1.81E-02,10
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000137331.11,IER3,protein coding,Protein-coding transcript,"chr6:30,710,976-30,712,331",157.6,4,13,0.3,7,7.1,391.1,152.9,11.1,6.7,21.1,10.8,9.4,13.8,14.4,N/A,1.04E-05,N/A,N/A,N/A,N/A,N/A,3.57E-03,N/A,N/A,N/A,N/A,N/A,2.67E-02,N/A,3
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000139531.8,SUOX,protein coding,Protein-coding transcript,"chr12:56,390,964-56,400,425",8.4,12.4,8,1.5,2.8,2.2,3.3,4.1,16.6,14.6,2.3,1.7,2.3,2.6,2.4,1.83E-04,6.03E-03,N/A,3.54E-02,1.60E-04,4.31E-03,N/A,N/A,5.48E-10,8.13E-11,3.82E-03,1.26E-03,9.92E-06,3.08E-04,3.63E-02,12
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000142233.7,NTN5,protein coding,Protein-coding transcript,"chr19:49,164,664-49,176,338",0.1,0.1,1.8,0.8,2.8,3,0.2,0.2,3.3,2.4,3,1.9,2.5,2.5,4.4,N/A,N/A,N/A,N/A,1.56E-02,N/A,N/A,N/A,N/A,1.96E-03,N/A,4.31E-03,6.16E-03,1.42E-03,4.68E-03,6
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000145020.10,AMT,protein coding,Protein-coding transcript,"chr3:49,454,211-49,460,186",9.5,7.5,26.3,29.4,27.3,31.3,2.9,3.2,23.9,26.7,24.5,17.1,20.1,21.8,25.9,1.42E-07,6.01E-05,3.60E-02,1.55E-04,4.98E-04,1.68E-04,N/A,N/A,4.48E-04,3.68E-05,3.89E-02,7.90E-05,8.54E-03,5.60E-05,1.31E-03,13
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000145029.7,NICN1,protein coding,Protein-coding transcript,"chr3:49,460,379-49,466,759",15.6,14.6,40,50.4,43.1,48,6.6,7.3,36.5,40.8,37.5,27.6,32,34.6,39.1,1.64E-03,2.99E-02,N/A,1.63E-03,3.24E-03,2.45E-03,N/A,N/A,1.01E-03,2.09E-02,N/A,6.32E-03,9.99E-03,4.67E-02,N/A,10
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000146112.7,PPP1R18,protein coding,Protein-coding transcript,"chr6:30,644,166-30,655,672",165.5,144.8,198.4,30.4,44.6,43.2,113.4,93.5,78.3,206.1,103.4,80.7,102.6,90.7,119.5,N/A,N/A,6.81E-03,N/A,N/A,N/A,4.30E-06,6.55E-04,N/A,N/A,1.95E-02,N/A,N/A,N/A,N/A,4
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000148660.16,CAMK2G,protein coding,Protein-coding transcript,"chr10:75,572,259-75,634,343",31.6,19.4,58,30.9,58.9,64.8,8.3,8,56.4,77.3,67.2,61.2,69,67.6,69.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.73E-02,N/A,N/A,5.87E-03,N/A,N/A,2
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000154822.11,PLCL2,protein coding,Protein-coding transcript,"chr3:16,844,159-17,132,086",53.6,66.7,162.7,126.5,144.7,127.2,47.7,58.5,91.2,71.3,139.2,158.2,132.3,151.1,119.1,3.63E-03,N/A,N/A,N/A,N/A,N/A,3.83E-02,N/A,N/A,3.78E-03,N/A,N/A,N/A,N/A,1.61E-02,4
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000155329.7,ZCCHC10,protein coding,Protein-coding transcript,"chr5:132,332,677-132,362,296",17.6,23.8,21.7,65.5,24.1,21.2,65.2,59.6,32,20.3,19.3,24.7,19.4,21.4,18.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.15E-02,N/A,N/A,N/A,1.81E-03,N/A,N/A,2
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000156110.9,ADK,protein coding,Protein-coding transcript,"chr10:75,910,960-76,469,061",23.4,56.8,12.1,101.8,23.4,25.5,17.6,35.5,26.1,32.5,28.2,38.8,35.4,26.9,23.2,2.76E-11,7.93E-10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.95E-03,4.11E-03,N/A,2.66E-02,5
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000162594.10,IL23R,protein coding,Protein-coding transcript,"chr1:67,632,083-67,725,662",0,0,0,0,0,0,0.4,0.1,0,0.3,0,4.7,1.5,0,0.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.01E-02,2.65E-06,N/A,N/A,2
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000162929.9,KIAA1841,protein coding,Protein-coding transcript,"chr2:61,293,006-61,391,960",2.6,8,4.2,2.7,1.6,0.9,0.7,0.5,2,5.9,2.3,2.6,3.2,3.2,2.1,N/A,N/A,N/A,2.15E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.19E-02,N/A,N/A,N/A,2
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000164307.8,ERAP1,protein coding,Protein-coding transcript,"chr5:96,096,521-96,143,803",81.5,99.6,193.8,73.4,148,136.4,117.2,124.3,142.6,97.5,137.5,156.9,115.4,119.1,130,1.06E-06,1.35E-06,5.66E-04,4.97E-02,N/A,2.17E-02,8.46E-04,4.53E-04,4.35E-02,8.90E-03,N/A,6.68E-03,1.87E-02,4.26E-02,5.58E-03,13
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000164308.12,ERAP2,protein coding,Protein-coding transcript,"chr5:96,211,643-96,255,420",49.6,101.7,146.1,119.7,183.3,141.9,65.9,58.4,166.5,140.9,170.3,196.5,135,150.8,143.7,6.33E-23,3.85E-23,1.49E-23,1.16E-14,1.90E-20,2.16E-21,4.14E-14,2.14E-16,1.72E-25,3.59E-22,4.86E-20,2.88E-22,1.76E-22,3.74E-24,1.57E-24,15
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000164512.13,ANKRD55,protein coding,Protein-coding transcript,"chr5:55,395,507-55,529,186",0.4,0.1,0,0,62.7,1.2,7.3,0.2,17.5,4.4,12.1,2.1,16.4,39.9,33.3,N/A,N/A,N/A,N/A,4.97E-09,N/A,1.28E-03,N/A,3.12E-10,9.74E-05,4.06E-02,N/A,2.85E-03,1.61E-03,1.71E-08,8
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000170581.9,STAT2,protein coding,Protein-coding transcript,"chr12:56,735,381-56,753,939",109.8,181.2,73.6,131.1,81.5,71.3,66.4,91.3,70.1,97.6,82.9,72.8,77.7,83.1,84.5,N/A,N/A,N/A,N/A,2.41E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000173209.18,AHSA2,protein coding,Protein-coding transcript,"chr2:61,404,553-61,418,338",90.9,161.3,253,253.5,285,259.8,74.2,77.7,243.3,191.8,206.1,203.7,212.8,206.1,225.3,1.82E-04,7.33E-09,1.54E-02,1.27E-02,1.05E-04,4.48E-04,1.36E-02,3.21E-03,2.29E-04,1.24E-05,1.53E-03,2.04E-04,9.74E-06,5.25E-05,8.19E-05,15
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000173214.5,KIAA1919,protein coding,Protein-coding transcript,"chr6:111,580,551-111,592,370",9.5,17,16.8,21.9,15.9,14.1,20.7,18.3,15.5,12,10,10.8,10.8,12.2,10.7,N/A,1.44E-02,N/A,5.39E-03,1.06E-02,N/A,1.33E-03,9.52E-04,1.93E-03,1.66E-02,N/A,6.57E-05,1.50E-02,2.92E-02,N/A,10
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000173511.5,VEGFB,protein coding,Protein-coding transcript,"chr11:64,002,010-64,006,259",6.6,1.7,36.1,53.3,38.2,38.4,34.6,38.2,38.8,28.2,43.5,34.1,42.7,43,57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.87E-02,N/A,N/A,N/A,N/A,3.71E-02,2
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000175643.7,RMI2,protein coding,Protein-coding transcript,"chr16:11,343,476-11,445,619",0.2,0.3,0.9,3.9,3.1,2.2,2.2,2.5,2.3,3.8,1.2,0.3,1.1,1.7,1.6,N/A,N/A,N/A,2.53E-07,3.86E-11,1.23E-09,2.19E-05,2.72E-08,3.82E-04,N/A,N/A,N/A,N/A,N/A,N/A,6
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000179344.12,HLA-DQB1,protein coding,Protein-coding transcript,"chr6:32,627,244-32,636,160",116.4,42.3,3.4,458.6,1.8,1.8,2.4,2.4,2.6,23.4,1.9,1,3.7,4.3,2.3,1.44E-18,2.85E-19,2.66E-15,1.64E-23,9.36E-16,7.47E-17,1.44E-10,5.84E-14,1.22E-17,3.58E-16,8.15E-12,N/A,1.52E-14,1.43E-14,3.63E-14,14
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000181634.7,TNFSF15,protein coding,Protein-coding transcript,"chr9:117,546,915-117,568,406",2.2,0.2,0,0.1,0.1,0,1.6,0.7,0,0,0,0,0,0.1,0.1,2.09E-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000181915.3,ADO,protein coding,Protein-coding transcript,"chr10:64,564,516-64,568,238",9.7,8.8,14.7,12.8,15.1,14.6,102,84.6,14.9,8.7,12.2,15.9,12.9,16.2,10.8,N/A,N/A,N/A,N/A,3.09E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000185436.7,IFNLR1,protein coding,Protein-coding transcript,"chr1:24,480,647-24,514,449",0,0.1,2.5,53.6,3.4,7.4,3.8,11,6.4,7.6,9.3,4.9,4.3,5,8.2,N/A,N/A,N/A,N/A,1.90E-07,3.08E-05,N/A,N/A,2.68E-07,3.03E-10,2.21E-02,1.39E-05,4.68E-05,3.82E-06,8.50E-05,9
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000196126.6,HLA-DRB1,protein coding,Protein-coding transcript,"chr6:32,546,546-32,557,625",1792.2,971,81.7,2016.6,15,16.4,11.7,11.4,15.1,292,30.4,8,36.8,37.1,28.1,1.30E-18,1.51E-09,3.78E-05,1.77E-12,2.56E-07,1.15E-05,8.46E-07,7.21E-07,2.65E-07,3.57E-09,2.37E-02,1.71E-11,4.08E-12,2.20E-10,4.29E-07,15
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000196735.7,HLA-DQA1,protein coding,Protein-coding transcript,"chr6:32,595,956-32,614,839",33.3,26.1,1.2,248.2,1.1,0.9,1.2,1,0.5,7,0.4,0.1,0.5,0.5,0.5,7.21E-21,9.13E-12,7.35E-03,5.21E-24,1.10E-16,N/A,1.01E-16,N/A,N/A,1.75E-12,N/A,N/A,N/A,N/A,N/A,7
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000197375.8,SLC22A5,protein coding,Protein-coding transcript,"chr5:131,705,444-131,731,306",2.4,0.5,2.8,3.7,6.5,5.6,4,4.8,5.9,3,4.4,4.2,4,4.4,4.5,6.38E-09,N/A,5.16E-11,1.22E-08,5.71E-06,5.15E-05,2.50E-13,5.78E-10,1.51E-06,1.35E-07,2.43E-04,9.35E-07,7.42E-06,1.31E-06,7.05E-06,14
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000197728.5,RPS26,protein coding,Protein-coding transcript,"chr12:56,435,637-56,438,116",12.9,22.5,66.7,56.7,62.2,68.6,40.2,53.5,39.2,33.4,57,59.8,52.8,61.7,37.9,N/A,N/A,N/A,N/A,N/A,N/A,9.25E-04,1.76E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000199332.1,Y_RNA,misc RNA,sncRNA,"chr6:31,369,929-31,370,027",4.1,8.9,8.7,7.4,7.6,7.2,2.9,2,5.1,5.1,5.6,6.3,6,5.8,4.9,3.48E-03,4.75E-04,1.53E-02,2.28E-02,2.18E-04,1.29E-05,1.38E-03,N/A,1.41E-05,1.34E-04,9.84E-03,6.40E-06,1.63E-04,2.77E-05,2.72E-02,14
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000201207.1,Y_RNA,misc RNA,sncRNA,"chr6:31,631,065-31,631,178",0.7,1.4,1.7,2.5,1.6,1.8,3.6,4.6,0.4,0.8,1,1.2,0.8,1.2,0.7,N/A,N/A,N/A,N/A,6.95E-03,N/A,N/A,N/A,N/A,N/A,4.08E-02,4.13E-03,N/A,N/A,N/A,3
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000203778.3,FAM229B,protein coding,Protein-coding transcript,"chr6:112,408,802-112,423,993",0.5,1,16.8,20.2,41.9,46.5,16.9,27.8,34.6,5.7,15.2,14.5,11.7,12,17.4,N/A,N/A,N/A,N/A,N/A,N/A,1.61E-08,2.62E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204256.8,BRD2,protein coding,Protein-coding transcript,"chr6:32,936,437-32,949,282",189.6,173.1,308.9,288.2,175.2,176.2,240.8,287,153.4,211.7,215.5,199.7,202.9,223.2,171.6,N/A,1.08E-03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.04E-02,N/A,2
Psoriasis,Skin and connective tissue diseases,Psoriasis,ENSG00000204257.10,HLA-DMA,protein coding,Protein-coding transcript,"chr6:32,916,390-32,936,871",388.4,128.2,26.5,933.9,17.6,20,2.6,3.2,15.2,68.4,15.9,6.6,9.3,12.1,14.8,N/A,N/A,3.61E-02,N/A,2.52E-02,2.56E-02,4.17E-02,3.91E-02,1.47E-03,N/A,4.75E-04,8.68E-03,4.52E-04,1.44E-02,2.10E-02,11
